 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort
   862   19.081             -50            5832            1458         -0.4982;
   863   19.103             -17            5814            1454         -0.1996;
   864   19.125              32            5791            1448          0.2839;
   865   19.147              50            5785            1445          0.4957;
   866   19.169              15            5802            1449          0.1844;
   867   19.191             -34            5825            1455         -0.2985;
   868   19.214             -50            5832            1457         -0.4933;
   869   19.236             -13            5813            1454         -0.1661;
   870   19.258              36            5790            1447          0.3162;
   871   19.280              49            5785            1445          0.4878;
   872   19.302              10            5805            1449          0.1404;
   873   19.324             -38            5827            1455         -0.3382;
   874   19.346             -48            5831            1458         -0.4799;
   875   19.368              -7            5811            1453         -0.1105;
   876   19.391              40            5790            1447          0.3620;
   877   19.413              46            5788            1445          0.4670;
   878   19.435               3            5809            1450          0.0745;
   879   19.457             -42            5829            1456         -0.3889;
   880   19.479             -44            5829            1458         -0.4512;
   881   19.501               1            5807            1452         -0.0336;
   882   19.523              45            5788            1447          0.4151;
   883   19.546              41            5791            1446          0.4274;
   884   19.568              -6            5813            1452         -0.0140;
   885   19.590             -47            5830            1457         -0.4426;
   886   19.612             -38            5825            1457         -0.3974;
   887   19.634              11            5803            1451          0.0653;
   888   19.656              49            5787            1446          0.4658;
   889   19.678              34            5795            1446          0.3596;
   890   19.701             -17            5818            1453         -0.1221;
   891   19.723             -51            5831            1457         -0.4860;
   892   19.745             -29            5821            1457         -0.3138;
   893   19.767              23            5798            1449          0.1819;
   894   19.789              51            5787            1446          0.4976;
   895   19.811              23            5800            1448          0.2576;
   896   19.833             -29            5823            1454         -0.2442;
   897   19.855             -51            5831            1457         -0.4994;
   898   19.878             -16            5815            1454         -0.1935;
   899   19.900              35            5793            1448          0.3059;
   900   19.922              49            5788            1446          0.4866;
   901   19.944               8            5807            1450          0.1203;
   902   19.966             -40            5828            1456         -0.3663;
   903   19.988             -45            5829            1457         -0.4597;
   904   20.010               0            5809            1452         -0.0403;
   905   20.033              45            5790            1447          0.4194;
   906   20.055              40            5794            1446          0.4158;
   907   20.077              -9            5815            1452         -0.0476;
   908   20.099             -49            5831            1457         -0.4640;
   909   20.121             -33            5823            1457         -0.3565;
   910   20.143              18            5801            1450          0.1380;
   911   20.165              51            5789            1447          0.4921;
   912   20.188              25            5801            1448          0.2802;
   913   20.210             -27            5823            1454         -0.2295;
   914   20.232             -51            5832            1457         -0.5000;
   915   20.254             -15            5816            1455         -0.1905;
   916   20.276              36            5794            1448          0.3168;
   917   20.298              48            5791            1446          0.4799;
   918   20.320               5            5809            1451          0.0879;
   919   20.342             -43            5829            1456         -0.3950;
   920   20.365             -42            5827            1457         -0.4341;
   921   20.387               7            5806            1452          0.0232;
   922   20.409              49            5790            1447          0.4567;
   923   20.431              34            5797            1446          0.3614;
   924   20.453             -18            5819            1453         -0.1386;
   925   20.475             -51            5831            1457         -0.4939;
   926   20.497             -23            5819            1456         -0.2662;
   927   20.520              30            5797            1449          0.2515;
   928   20.542              50            5790            1447          0.4957;
   929   20.564              11            5807            1450          0.1508;
   930   20.586             -39            5827            1456         -0.3553;
   931   20.608             -45            5829            1457         -0.4597;
   932   20.630               2            5809            1453         -0.0232;
   933   20.652              47            5792            1448          0.4371;
   934   20.674              36            5797            1447          0.3840;
   935   20.697             -16            5818            1453         -0.1129;
   936   20.719             -51            5831            1457         -0.4902;
   937   20.741             -25            5820            1456         -0.2784;
   938   20.763              29            5798            1449          0.2448;
   939   20.785              50            5791            1447          0.4963;
   940   20.807              11            5807            1450          0.1459;
   941   20.829             -40            5827            1456         -0.3632;
   942   20.852             -44            5828            1457         -0.4512;
   943   20.874               5            5808            1452          0.0018;
   944   20.896              48            5792            1448          0.4524;
   945   20.918              33            5799            1447          0.3584;
   946   20.940             -20            5820            1454         -0.1557;
   947   20.962             -51            5831            1457         -0.4982;
   948   20.984             -19            5818            1456         -0.2289;
   949   21.007              34            5797            1449          0.2985;
   950   21.029              48            5792            1447          0.4811;
   951   21.051               3            5811            1451          0.0714;
   952   21.073             -45            5829            1456         -0.4170;
   953   21.095             -38            5825            1457         -0.4023;
   954   21.117              14            5805            1451          0.0965;
   955   21.139              51            5792            1447          0.4884;
   956   21.161              24            5803            1449          0.2729;
   957   21.184             -31            5823            1455         -0.2601;
   958   21.206             -49            5830            1457         -0.4921;
   959   21.228              -7            5813            1454         -0.1087;
   960   21.250              43            5794            1448          0.3968;
   961   21.272              40            5796            1447          0.4182;
   962   21.294             -12            5817            1453         -0.0745;
   963   21.316             -51            5830            1457         -0.4841;
   964   21.339             -25            5820            1456         -0.2845;
   965   21.361              30            5799            1450          0.2521;
   966   21.383              49            5793            1447          0.4921;
   967   21.405               6            5810            1451          0.1074;
   968   21.427             -44            5829            1456         -0.4005;
   969   21.449             -39            5826            1457         -0.4133;
   970   21.471              14            5806            1452          0.0885;
   971   21.493              51            5793            1448          0.4884;
   972   21.516              23            5804            1449          0.2637;
   973   21.538             -32            5824            1455         -0.2772;
   974   21.560             -48            5830            1457         -0.4847;
   975   21.582              -3            5812            1453         -0.0708;
   976   21.604              46            5795            1448          0.4255;
   977   21.626              36            5799            1447          0.3828;
   978   21.648             -19            5819            1454         -0.1392;
   979   21.671             -51            5830            1457         -0.4988;
   980   21.693             -17            5818            1456         -0.2100;
   981   21.715              37            5798            1449          0.3303;
   982   21.737              45            5796            1448          0.4597;
   983   21.759              -5            5814            1452         -0.0049;
   984   21.781             -49            5830            1456         -0.4646;
   985   21.803             -29            5822            1457         -0.3217;
   986   21.826              27            5801            1450          0.2222;
   987   21.848              50            5794            1448          0.4957;
   988   21.870               7            5810            1451          0.1160;
   989   21.892             -44            5828            1456         -0.4029;
   990   21.914             -38            5825            1457         -0.4035;
   991   21.936              16            5805            1451          0.1160;
   992   21.958              51            5794            1448          0.4963;
   993   21.980              18            5806            1450          0.2173;
   994   22.003             -37            5826            1455         -0.3297;
   995   22.025             -45            5828            1457         -0.4573;
   996   22.047               7            5809            1452          0.0183;
   997   22.069              50            5795            1448          0.4719;
   998   22.091              26            5803            1448          0.2979;
   999   22.113             -30            5823            1455         -0.2558;
  1000   22.135             -48            5830            1457         -0.4878;
  1001   22.158              -2            5812            1453         -0.0653;
  1002   22.180              47            5796            1449          0.4365;
  1003   22.202              33            5801            1448          0.3578;
  1004   22.224             -24            5821            1454         -0.1880;
  1005   22.246             -50            5830            1457         -0.4994;
  1006   22.268              -9            5815            1454         -0.1331;
  1007   22.290              44            5797            1449          0.3980;
  1008   22.313              38            5800            1448          0.4005;
  1009   22.335             -18            5819            1453         -0.1306;
  1010   22.357             -51            5830            1457         -0.4994;
  1011   22.379             -14            5817            1455         -0.1850;
  1012   22.401              41            5798            1449          0.3632;
  1013   22.423              41            5798            1448          0.4292;
  1014   22.445             -14            5817            1453         -0.0855;
  1015   22.467             -51            5829            1457         -0.4939;
  1016   22.490             -18            5818            1456         -0.2216;
  1017   22.512              38            5799            1450          0.3358;
  1018   22.534              43            5798            1448          0.4463;
  1019   22.556             -10            5817            1453         -0.0549;
  1020   22.578             -51            5829            1457         -0.4878;
  1021   22.600             -21            5819            1456         -0.2448;
  1022   22.622              36            5800            1450          0.3187;
  1023   22.645              44            5798            1448          0.4554;
  1024   22.667              -9            5816            1452         -0.0385;
  1025   22.689             -51            5829            1456         -0.4841;
  1026   22.711             -22            5819            1456         -0.2540;
  1027   22.733              36            5800            1450          0.3126;
  1028   22.755              45            5798            1448          0.4579;
  1029   22.777              -9            5816            1452         -0.0360;
  1030   22.799             -51            5829            1456         -0.4841;
  1031   22.822             -21            5819            1456         -0.2509;
  1032   22.844              36            5800            1450          0.3175;
  1033   22.866              44            5798            1448          0.4536;
  1034   22.888             -10            5816            1453         -0.0488;
  1035   22.910             -51            5829            1456         -0.4884;
  1036   22.932             -19            5819            1456         -0.2344;
  1037   22.954              38            5800            1450          0.3346;
  1038   22.977              43            5799            1448          0.4420;
  1039   22.999             -13            5817            1453         -0.0751;
  1040   23.021             -51            5829            1457         -0.4945;
  1041   23.043             -16            5818            1456         -0.2045;
  1042   23.065              40            5800            1450          0.3608;
  1043   23.087              40            5801            1448          0.4219;
  1044   23.109             -17            5819            1453         -0.1160;
  1045   23.132             -51            5829            1457         -0.4994;
  1046   23.154             -12            5817            1455         -0.1600;
  1047   23.176              43            5799            1450          0.3950;
  1048   23.198              36            5802            1448          0.3889;
  1049   23.220             -22            5821            1454         -0.1703;
  1050   23.242             -50            5830            1457         -0.4988;
  1051   23.264              -5            5815            1454         -0.0995;
  1052   23.286              47            5799            1449          0.4335;
  1053   23.309              31            5804            1449          0.3407;
  1054   23.331             -29            5823            1454         -0.2357;
  1055   23.353             -48            5829            1457         -0.4847;
  1056   23.375               3            5812            1453         -0.0238;
  1057   23.397              50            5798            1449          0.4695;
  1058   23.419              24            5806            1449          0.2741;
  1059   23.441             -36            5825            1455         -0.3089;
  1060   23.464             -44            5828            1457         -0.4530;
  1061   23.486              12            5810            1452          0.0672;
  1062   23.508              51            5798            1449          0.4945;
  1063   23.530              14            5810            1451          0.1868;
  1064   23.552             -42            5827            1456         -0.3828;
  1065   23.574             -37            5825            1457         -0.3956;
  1066   23.596              22            5807            1452          0.1703;
  1067   23.618              50            5798            1449          0.4969;
  1068   23.641               3            5813            1451          0.0794;
  1069   23.663             -48            5829            1456         -0.4493;
  1070   23.685             -27            5822            1457         -0.3101;
  1071   23.707              33            5804            1451          0.2784;
  1072   23.729              45            5801            1449          0.4640;
  1073   23.751             -10            5817            1453         -0.0464;
  1074   23.773             -51            5829            1456         -0.4927;
  1075   23.796             -15            5818            1456         -0.1947;
  1076   23.818              42            5801            1450          0.3822;
  1077   23.840              36            5803            1449          0.3907;
  1078   23.862             -24            5821            1454         -0.1832;
  1079   23.884             -49            5829            1457         -0.4945;
  1080   23.906              -0            5814            1454         -0.0531;
  1081   23.928              49            5799            1449          0.4634;
  1082   23.951              24            5808            1449          0.2753;
  1083   23.973             -37            5825            1455         -0.3193;
  1084   23.995             -42            5827            1457         -0.4396;
  1085   24.017              16            5810            1452          0.1074;
  1086   24.039              51            5799            1449          0.4994;
  1087   24.061               7            5812            1451          0.1215;
  1088   24.083             -47            5828            1456         -0.4328;
  1089   24.105             -29            5822            1457         -0.3266;
  1090   24.128              32            5804            1451          0.2705;
  1091   24.150              45            5801            1449          0.4634;
  1092   24.172             -11            5817            1453         -0.0592;
  1093   24.194             -51            5829            1456         -0.4969;
  1094   24.216             -12            5817            1455         -0.1624;
  1095   24.238              45            5801            1450          0.4109;
  1096   24.260              32            5805            1449          0.3510;
  1097   24.283             -30            5823            1455         -0.2454;
  1098   24.305             -46            5828            1457         -0.4737;
  1099   24.327               9            5812            1453          0.0372;
  1100   24.349              51            5799            1449          0.4933;
  1101   24.371              13            5811            1451          0.1740;
  1102   24.393             -45            5827            1456         -0.4066;
  1103   24.415             -32            5823            1457         -0.3553;
  1104   24.438              30            5806            1451          0.2442;
  1105   24.460              46            5800            1449          0.4719;
  1106   24.482             -10            5817            1453         -0.0452;
  1107   24.504             -51            5829            1456         -0.4957;
  1108   24.526             -11            5817            1456         -0.1600;
  1109   24.548              46            5801            1450          0.4176;
  1110   24.570              30            5806            1449          0.3370;
  1111   24.592             -32            5823            1455         -0.2692;
  1112   24.615             -45            5828            1456         -0.4603;
  1113   24.637              13            5811            1453          0.0800;
  1114   24.659              51            5800            1449          0.4994;
  1115   24.681               7            5813            1451          0.1166;
  1116   24.703             -48            5828            1456         -0.4438;
  1117   24.725             -26            5821            1456         -0.2967;
  1118   24.747              36            5804            1451          0.3150;
  1119   24.770              41            5803            1449          0.4304;
  1120   24.792             -20            5820            1454         -0.1435;
  1121   24.814             -50            5829            1456         -0.4969;
  1122   24.836               1            5814            1454         -0.0458;
  1123   24.858              50            5801            1450          0.4756;
  1124   24.880              18            5810            1451          0.2259;
  1125   24.902             -42            5826            1455         -0.3785;
  1126   24.924             -35            5824            1456         -0.3761;
  1127   24.947              28            5807            1452          0.2302;
  1128   24.969              46            5801            1449          0.4731;
  1129   24.991             -11            5818            1453         -0.0556;
  1130   25.013             -51            5828            1456         -0.4988;
  1131   25.035              -7            5816            1455         -0.1233;
  1132   25.057              48            5802            1450          0.4444;
  1133   25.079              25            5809            1450          0.2857;
  1134   25.102             -38            5825            1455         -0.3327;
  1135   25.124             -39            5825            1456         -0.4139;
  1136   25.146              24            5809            1452          0.1813;
  1137   25.168              48            5801            1450          0.4872;
  1138   25.190              -7            5817            1452         -0.0140;
  1139   25.212             -51            5828            1456         -0.4939;
  1140   25.234             -11            5817            1456         -0.1545;
  1141   25.257              47            5802            1450          0.4310;
  1142   25.279              26            5808            1450          0.3034;
  1143   25.301             -37            5824            1455         -0.3199;
  1144   25.323             -40            5825            1456         -0.4200;
  1145   25.345              23            5809            1452          0.1764;
  1146   25.367              48            5801            1450          0.4872;
  1147   25.389              -7            5817            1452         -0.0189;
  1148   25.411             -51            5828            1456         -0.4951;
  1149   25.434              -9            5817            1456         -0.1392;
  1150   25.456              48            5803            1450          0.4420;
  1151   25.478              24            5809            1450          0.2814;
  1152   25.500             -39            5824            1455         -0.3443;
  1153   25.522             -37            5824            1456         -0.3980;
  1154   25.544              27            5808            1452          0.2149;
  1155   25.566              46            5802            1450          0.4731;
  1156   25.589             -13            5818            1453         -0.0708;
  1157   25.611             -51            5828            1456         -0.5000;
  1158   25.633              -2            5815            1455         -0.0781;
  1159   25.655              50            5803            1450          0.4713;
  1160   25.677              17            5811            1450          0.2173;
  1161   25.699             -44            5826            1456         -0.3987;
  1162   25.721             -30            5823            1456         -0.3388;
  1163   25.743              34            5807            1451          0.2924;
  1164   25.766              41            5805            1450          0.4310;
  1165   25.788             -22            5821            1454         -0.1679;
  1166   25.810             -48            5828            1456         -0.4872;
  1167   25.832               9            5813            1454          0.0317;
  1168   25.854              51            5803            1450          0.4982;
  1169   25.876               5            5814            1452          0.1026;
  1170   25.898             -49            5827            1456         -0.4646;
  1171   25.921             -18            5819            1456         -0.2295;
  1172   25.943              44            5805            1451          0.3938;
  1173   25.965              30            5808            1450          0.3382;
  1174   25.987             -35            5823            1455         -0.2985;
  1175   26.009             -40            5826            1456         -0.4249;
  1176   26.031              24            5809            1452          0.1850;
  1177   26.053              47            5803            1450          0.4799;
  1178   26.076             -12            5818            1453         -0.0641;
  1179   26.098             -51            5827            1456         -0.5006;
  1180   26.120              -0            5815            1455         -0.0592;
  1181   26.142              51            5803            1450          0.4817;
  1182   26.164              13            5813            1450          0.1758;
  1183   26.186             -47            5827            1456         -0.4322;
  1184   26.208             -24            5821            1456         -0.2827;
  1185   26.230              41            5806            1451          0.3578;
  1186   26.253              34            5807            1450          0.3718;
  1187   26.275             -32            5823            1455         -0.2668;
  1188   26.297             -42            5826            1456         -0.4408;
  1189   26.319              22            5810            1452          0.1636;
  1190   26.341              48            5803            1450          0.4841;
  1191   26.363             -11            5818            1453         -0.0568;
  1192   26.385             -51            5827            1456         -0.5006;
  1193   26.408               0            5815            1455         -0.0519;
  1194   26.430              51            5804            1450          0.4860;
  1195   26.452              10            5813            1452          0.1545;
  1196   26.474             -48            5827            1456         -0.4475;
  1197   26.496             -20            5820            1456         -0.2503;
  1198   26.518              43            5806            1451          0.3889;
  1199   26.540              30            5809            1450          0.3327;
  1200   26.563             -37            5824            1455         -0.3168;
  1201   26.585             -37            5825            1456         -0.4023;
  1202   26.607              29            5809            1452          0.2332;
  1203   26.629              44            5804            1450          0.4536;
  1204   26.651             -20            5820            1454         -0.1453;
  1205   26.673             -48            5827            1456         -0.4878;
  1206   26.695              11            5813            1453          0.0537;
  1207   26.717              51            5804            1450          0.5000;
  1208   26.740              -2            5816            1452          0.0354;
  1209   26.762             -51            5827            1456         -0.4921;
  1210   26.784              -7            5817            1455         -0.1233;
  1211   26.806              50            5804            1450          0.4652;
  1212   26.828              15            5812            1450          0.2039;
  1213   26.850             -47            5826            1456         -0.4255;
  1214   26.872             -23            5821            1456         -0.2784;
  1215   26.895              42            5806            1451          0.3730;
  1216   26.917              31            5808            1450          0.3431;
  1217   26.939             -37            5823            1455         -0.3144;
  1218   26.961             -37            5824            1456         -0.3980;
  1219   26.983              30            5809            1452          0.2485;
  1220   27.005              42            5806            1450          0.4414;
  1221   27.027             -24            5821            1454         -0.1801;
  1222   27.049             -46            5827            1456         -0.4737;
  1223   27.072              17            5812            1453          0.1099;
  1224   27.094              49            5804            1450          0.4927;
  1225   27.116             -10            5818            1453         -0.0409;
  1226   27.138             -51            5827            1456         -0.5006;
  1227   27.160               3            5815            1455         -0.0281;
  1228   27.182              51            5804            1450          0.4951;
  1229   27.204               4            5815            1452          0.0928;
  1230   27.227             -51            5827            1456         -0.4805;
  1231   27.249             -10            5818            1456         -0.1551;
  1232   27.271              49            5805            1451          0.4567;
  1233   27.293              16            5812            1450          0.2118;
  1234   27.315             -47            5826            1456         -0.4274;
  1235   27.337             -22            5820            1456         -0.2650;
  1236   27.359              44            5807            1451          0.3919;
  1237   27.382              27            5810            1450          0.3114;
  1238   27.404             -40            5824            1455         -0.3547;
  1239   27.426             -32            5823            1456         -0.3535;
  1240   27.448              37            5808            1452          0.3132;
  1241   27.470              36            5808            1450          0.3895;
  1242   27.492             -33            5822            1455         -0.2717;
  1243   27.514             -39            5825            1456         -0.4206;
  1244   27.536              29            5810            1452          0.2289;
  1245   27.559              42            5805            1451          0.4444;
  1246   27.581             -25            5821            1454         -0.1868;
  1247   27.603             -45            5827            1456         -0.4652;
  1248   27.625              21            5812            1453          0.1453;
  1249   27.647              47            5805            1451          0.4799;
  1250   27.669             -17            5819            1453         -0.1056;
  1251   27.691             -49            5827            1456         -0.4908;
  1252   27.714              13            5813            1454          0.0659;
  1253   27.736              50            5805            1451          0.4969;
  1254   27.758              -9            5818            1453         -0.0305;
  1255   27.780             -51            5826            1456         -0.5000;
  1256   27.802               6            5814            1455         -0.0043;
  1257   27.824              51            5805            1451          0.4994;
  1258   27.846              -2            5817            1453          0.0360;
  1259   27.868             -51            5826            1456         -0.4969;
  1260   27.891              -1            5816            1455         -0.0665;
  1261   27.913              51            5806            1451          0.4915;
  1262   27.935               4            5816            1451          0.0928;
  1263   27.957             -51            5826            1456         -0.4860;
  1264   27.979              -6            5817            1456         -0.1178;
  1265   28.001              51            5806            1451          0.4786;
  1266   28.023               8            5815            1451          0.1392;
  1267   28.046             -50            5826            1456         -0.4719;
  1268   28.068             -10            5818            1456         -0.1593;
  1269   28.090              50            5807            1451          0.4640;
  1270   28.112              12            5814            1451          0.1758;
  1271   28.134             -49            5825            1456         -0.4573;
  1272   28.156             -14            5818            1456         -0.1911;
  1273   28.178              49            5807            1451          0.4499;
  1274   28.201              15            5813            1451          0.2027;
  1275   28.223             -48            5825            1456         -0.4451;
  1276   28.245             -16            5819            1456         -0.2137;
  1277   28.267              48            5807            1451          0.4396;
  1278   28.289              17            5813            1451          0.2210;
  1279   28.311             -47            5825            1456         -0.4359;
  1280   28.333             -18            5820            1456         -0.2277;
  1281   28.355              47            5808            1451          0.4328;
  1282   28.378              18            5813            1451          0.2302;
  1283   28.400             -47            5825            1456         -0.4316;
  1284   28.422             -18            5820            1456         -0.2326;
  1285   28.444              47            5808            1451          0.4310;
  1286   28.466              18            5813            1451          0.2314;
  1287   28.488             -47            5825            1456         -0.4322;
  1288   28.510             -18            5820            1456         -0.2295;
  1289   28.533              47            5808            1451          0.4341;
  1290   28.555              17            5813            1451          0.2241;
  1291   28.577             -48            5825            1456         -0.4383;
  1292   28.599             -17            5820            1456         -0.2179;
  1293   28.621              48            5808            1451          0.4420;
  1294   28.643              16            5814            1451          0.2082;
  1295   28.665             -48            5825            1456         -0.4481;
  1296   28.688             -14            5819            1456         -0.1972;
  1297   28.710              49            5808            1451          0.4536;
  1298   28.732              13            5814            1451          0.1832;
  1299   28.754             -49            5826            1456         -0.4609;
  1300   28.776             -11            5819            1456         -0.1679;
  1301   28.798              50            5808            1451          0.4676;
  1302   28.820               9            5815            1451          0.1484;
  1303   28.842             -50            5825            1456         -0.4756;
  1304   28.865              -7            5817            1456         -0.1282;
  1305   28.887              51            5807            1451          0.4823;
  1306   28.909               5            5816            1451          0.1044;
  1307   28.931             -51            5825            1456         -0.4896;
  1308   28.953              -2            5816            1455         -0.0788;
  1309   28.975              51            5807            1451          0.4945;
  1310   28.997              -1            5817            1453          0.0501;
  1311   29.020             -51            5826            1456         -0.4988;
  1312   29.042               4            5815            1455         -0.0195;
  1313   29.064              51            5808            1451          0.5000;
  1314   29.086              -8            5818            1453         -0.0140;
  1315   29.108             -50            5825            1456         -0.4994;
  1316   29.130              11            5814            1455          0.0488;
  1317   29.152              49            5807            1451          0.4939;
  1318   29.174             -15            5819            1453         -0.0873;
  1319   29.197             -48            5825            1456         -0.4860;
  1320   29.219              19            5813            1454          0.1258;
  1321   29.241              46            5807            1451          0.4725;
  1322   29.263             -23            5821            1454         -0.1679;
  1323   29.285             -43            5825            1456         -0.4554;
  1324   29.307              27            5811            1453          0.2088;
  1325   29.329              41            5807            1451          0.4322;
  1326   29.352             -31            5822            1454         -0.2521;
  1327   29.374             -37            5825            1456         -0.4048;
  1328   29.396              35            5810            1452          0.2937;
  1329   29.418              33            5810            1451          0.3706;
  1330   29.440             -39            5823            1455         -0.3358;
  1331   29.462             -29            5823            1456         -0.3321;
  1332   29.484              42            5809            1452          0.3748;
  1333   29.507              24            5812            1451          0.2869;
  1334   29.529             -46            5825            1455         -0.4115;
  1335   29.551             -18            5820            1456         -0.2375;
  1336   29.573              48            5808            1451          0.4432;
  1337   29.595              13            5814            1451          0.1819;
  1338   29.617             -50            5825            1456         -0.4707;
  1339   29.639              -6            5818            1456         -0.1227;
  1340   29.661              51            5808            1451          0.4890;
  1341   29.684              -0            5817            1453          0.0580;
  1342   29.706             -51            5825            1456         -0.4994;
  1343   29.728               7            5815            1455          0.0079;
  1344   29.750              50            5808            1451          0.4976;
  1345   29.772             -14            5819            1453         -0.0781;
  1346   29.794             -47            5825            1456         -0.4841;
  1347   29.816              21            5813            1453          0.1471;
  1348   29.839              44            5808            1451          0.4573;
  1349   29.861             -28            5822            1454         -0.2173;
  1350   29.883             -39            5825            1456         -0.4200;
  1351   29.905              34            5811            1453          0.2839;
  1352   29.927              33            5810            1451          0.3694;
  1353   29.949             -40            5823            1455         -0.3468;
  1354   29.971             -26            5822            1456         -0.3095;
  1355   29.993              45            5809            1452          0.4023;
  1356   30.016              19            5813            1451          0.2393;
  1357   30.038             -49            5825            1455         -0.4487;
  1358   30.060             -10            5819            1456         -0.1618;
  1359   30.082              51            5808            1451          0.4811;
  1360   30.104               1            5816            1451          0.0763;
  1361   30.126             -51            5825            1456         -0.4988;
  1362   30.148               8            5815            1455          0.0122;
  1363   30.171              49            5808            1451          0.4957;
  1364   30.193             -17            5820            1453         -0.1032;
  1365   30.215             -46            5825            1456         -0.4725;
  1366   30.237              26            5812            1453          0.1929;
  1367   30.259              40            5810            1451          0.4280;
  1368   30.281             -34            5822            1454         -0.2790;
  1369   30.303             -33            5824            1456         -0.3675]
